Column1,Column2,Column3,Column4,Column5
a-,,a-[DEDR1],dem.pron.|proc.,that- ()
,aḵt’,a-[DEDR1],san.,
,atu,a-[DEDR1],,
,atū,a-[DEDR1],san.,
,ataṉ,a-[DEDR1],obl.,
,ataṟku,a-[DEDR1],dat.,
,atai,a-[DEDR1],acc.,
,ataṉāl,a-[DEDR1],inst.,
,ataṉiṉum,a-[DEDR1],comp.,
,ataṉṟalai,a-[DEDR1],loc.,
,ataṉetir,a-[DEDR1],,
,anta,a-[DEDR1],n.sg.,
,antu,a-[DEDR1],,
,antil,a-[DEDR1],adv.,
,antilar,a-[DEDR1],pron.n.|3.,
,antō,a-[DEDR1],,
,avaṇ,a-[DEDR1],,
,avaṇa,a-[DEDR1],n.pl.,
,avaṇattu,a-[DEDR1],pron.n.|n.sg.,
,avaṇatu,a-[DEDR1],pron.n.|n.sg.,
,avaṇam,a-[DEDR1],pl.|1.,
,avaṇar,a-[DEDR1],,
,avaṇir,a-[DEDR1],pl.,
,avaṇai,a-[DEDR1],sg.|2.,
,avar,a-[DEDR1],obl.,
,avarkku,a-[DEDR1],dat.,
,avaroṭu,a-[DEDR1],soc.,
,avaḷ,a-[DEDR1],,
,avaṭku,a-[DEDR1],dat.,
,avaḷōṭ’,a-[DEDR1],san.|soc.,
,avaṉ,a-[DEDR1],,
,avaṟku,a-[DEDR1],dat.,
,avaṉiṉum,a-[DEDR1],comp.,
,avaṉoṭu,a-[DEDR1],soc.,
,avaṉōṭ’,a-[DEDR1],san.|soc.,
,avai,a-[DEDR1],n.pl.,
,aṟṟu,a-[DEDR1],,
,aṟṟum,a-[DEDR1],,
,aṉṟu,a-[DEDR1],,
,aṉṟai,a-[DEDR1],adj.,
,aṉṉa,a-[DEDR1],comp.,
,-aṉṉa,a-[DEDR1],comp.|pey.,
,aṉṉa,a-[DEDR1],n.pl.,
,aṉṉatu,a-[DEDR1],n.sg.,
,aṉṉatūu,a-[DEDR1],n.sg.|m.l.,
,aṉṉar,a-[DEDR1],3.,
,aṉṉavar,a-[DEDR1],3.,
,aṉṉaḷ,a-[DEDR1],f.sg.,
,aṉṉāḷ,a-[DEDR1],f.sg.,
,aṉṉēṉ,a-[DEDR1],,
,aṉṉaiyam,a-[DEDR1],pl.|1.,
,aṉṉaiyem,a-[DEDR1],pl.|1.,
,aṉṉōr,a-[DEDR1],3.,
,aṉṉōḷ,a-[DEDR1],f.sg.,
,aṉa,a-[DEDR1],n.pl.,
,aṉai,a-[DEDR1],,
,aṉaittu,a-[DEDR1],n.sg.,
,aṉaittaṟku,a-[DEDR1],dat.,
,aṉaittiṟku,a-[DEDR1],n.sg.|dat.,
,aṉaiya,a-[DEDR1],n.pl.,
,aṉaiyam,a-[DEDR1],pl.|1.,
,aṉaiyar,a-[DEDR1],3.,
,aṉaiyaḷ,a-[DEDR1],f.sg.,
,aṉaiyaṉ,a-[DEDR1],m.sg.,
,aṉaiyār,a-[DEDR1],3.,
,aṉaiyēm,a-[DEDR1],pl.|1.,
,aṉaiyēṉ,a-[DEDR1],sg.|1.,
,aṉaiyai,a-[DEDR1],sg.|2.,
,aṉaiyōr,a-[DEDR1],3.,
,aṉaiyōḷ,a-[DEDR1],f.sg.,
,aṅkaṇ,a-[DEDR1],,
,āṅkaṇ,a-[DEDR1],,
,āṅkaṇatu,a-[DEDR1],pron.n.|n.sg.,
,āṅkaṉam,a-[DEDR1],adv.,
,āṅkaṇār,a-[DEDR1],pron.n.|3.,
,āṅṅaṉam,a-[DEDR1],adv.,
,aṅku,a-[DEDR1],,
,aṅku,a-[DEDR1],,
,āṅku,a-[DEDR1],,
,āṅku,a-[DEDR1],,
,āṅku,a-[DEDR1],,
,āṅku,a-[DEDR1],comp.,
,āaṅku,a-[DEDR1],m.l.,
,āaṅku,a-[DEDR1],comp.,
,aṇṭu,a-[DEDR1],,
,āṇṭu,a-[DEDR1],,
,āṇṭai,a-[DEDR1],,
,ār,a-[DEDR1],,
,ārum,a-[DEDR1],,
,āṉum,a-[DEDR1],,
,āyiṭai,a-[DEDR1],,
-a,,-a,adj.|gen.|pl.,"suff. (-a is quite often clearly used as an adjective suffix, not as a   as is the usual analysis. In this respect it is quite similar to -am, though without obvious semantical basis.)"
aḵku,,aḵku[DEDR252],v.5.,"to be dejected, to be reduced"
,aḵkal,aḵku[DEDR252],v.n.,
,aḵkiyōṉ,aḵku[DEDR252],part.n.|p.a.|sg.|3.|m.,
aḵtai,,aḵtai[TL],p.n.,"(not AN index, not )  of a person"
aka(m),,aka(m)[DEDR7],n.,inside; breast
,aka,aka(m)[DEDR7],n.,
,akam,aka(m)[DEDR7],n.,
,akattu,aka(m)[DEDR7],obl.,
,akattu,aka(m)[DEDR7],pron.n.|n.sg.,
,akattatu,aka(m)[DEDR7],pron.n.|n.sg.,
,akaṉ,aka(m)[DEDR7],n.,
,akappaṭa,aka(m)[DEDR7],inf.,
,akappaṭutta,aka(m)[DEDR7],p.a.|pey.,
,akappaṭuttu,aka(m)[DEDR7],abs.,
,akappaṭṭamai,aka(m)[DEDR7],p.a.|v.n.,
akaṭu,,akaṭu[DEDR7],n.,"interior, belly"
,akaṭṭiṉ,akaṭu[DEDR7],obl.,
akappā,,akappā[TL],p.n.,of a fort
akal,,akal[DEDR9],n.,hollow earthen lamp
,akaliṉ,akal[DEDR9],obl.,
akal,,akal[DEDR8],v.3.|v.r.,to depart; to widen  to widen
,akal,akal[DEDR8],r.n.,
,akalpa,akal[DEDR8],i.a.|3.,
,akalvar,akal[DEDR8],i.a.|3.,
,akalvām,akal[DEDR8],i.a.|pl.|1.,
,akala,akal[DEDR8],inf.,
,akalā,akal[DEDR8],abs.|neg.,
,akalā,akal[DEDR8],neg.|pey.,
,akalātu,akal[DEDR8],abs.|neg.,
,akalātu,akal[DEDR8],n.sg.|neg.,
,akalāṉ,akal[DEDR8],m.sg.|neg.,
,akaliṉum,akal[DEDR8],conc.,
,akalum,akal[DEDR8],pey.,
,akalēṉ,akal[DEDR8],neg.|sg.|1.,
,akaṟal,akal[DEDR8],v.n.,
,akaṟi,akal[DEDR8],sub.|sg.|2.,
,akaṟir,akal[DEDR8],sub.|pl.|2.,
,akaṉmō,akal[DEDR8],ipt.,
,akaṉṟa,akal[DEDR8],p.a.|pey.,
,akaṉṟaṉar,akal[DEDR8],p.a.|3.,
,akaṉṟār,akal[DEDR8],p.a.|3.,
,akaṉṟiciṉōr,akal[DEDR8],part.n.|p.a.|3.,
,akaṉṟiciṉōrkku,akal[DEDR8],part.n.|dat.|p.a.|3.,
,akaṉṟu,akal[DEDR8],abs.,
,akaṉṟeṉa,akal[DEDR8],abs.,
,akaṉṟōr,akal[DEDR8],part.n.|p.a.|3.,
,akalvu,akal[DEDR8],n.,
,akalam,akal[DEDR8],n.,
akalam,,akalam[DEDR7],n.,(male) chest
,akalattu,akalam[DEDR7],obl.,
akavu,,akavu[DEDR10],v.5.|v.r.,to call –
,akava,akavu[DEDR10],inf.,
,akavā,akavu[DEDR10],abs.|neg.,
,akavum,akavu[DEDR10],pey.,
,akaval,akavu[DEDR10],v.n.,
,akavalil,akavu[DEDR10],loc.,
,akavunar,akavu[DEDR10],part.n.|i.a.|3.,
,akavum,akavu[DEDR10],pey.,
,akavaṉmakaḷ,akavu[DEDR10],n.,
,akavaṉmakaḷir,akavu[DEDR10],,
akaḻ,,akaḻ[DEDR11],v.4.,to excavate
,akaḻnta,akaḻ[DEDR11],p.a.|pey.,
,akaḻntu,akaḻ[DEDR11],abs.,
,akaḻvōṉ,akaḻ[DEDR11],part.n.|m.sg.|i.a.,
,akaḻum,akaḻ[DEDR11],pey.,
akaṟṟu,,akaṟṟu[DEDR8],v.5.,to expel
,akaṟṟa,akaṟṟu[DEDR8],inf.,
,akaṟṟal,akaṟṟu[DEDR8],v.n.,
,akaṟṟi,akaṟṟu[DEDR8],abs.,
,akaṟṟiya,akaṟṟu[DEDR8],p.a.|pey.,
,akaṟṟum,akaṟṟu[DEDR8],pey.,
akil,,akil[DEDR13],n.,(cf. Skt. agaru-):  eagle-wood (Aquila agallocha)
akutai,,akutai[TL],p.n.,AN index (not ):  of a chieftain
,aḵtai,akutai[TL],p.n.,
akai,,akai[DEDR15],v.11.|v.r.,to sprout –
,akaippa,akai[DEDR15],inf.,
,akai,akai[DEDR15],v.4.,
,akaintaṉṉa,akai[DEDR15],comp.|pey.,
,akaiya,akai[DEDR15],inf.,
akai,,akai[TL],v.4.,(not DEDR):  to burn
,akaipu,akai[TL],abs.,
,akaintaṉṉa,akai[TL],comp.|pey.,
,akaiya,akai[TL],inf.,
,akai,akai[TL],v.11.,
,akaippu,akai[TL],abs.,
aṅkāṭi,,aṅkāṭi[DEDR35],n.,bazaar
aṅkai,,aṅkai[DEDR7],n.,palm of the hand
accam,,accam[DEDR55],n.,fear
,accu,accam[DEDR55],n.,
,añcu,accam[DEDR55],r.n.,
,añcu,accam[DEDR55],v.5.|v.r.,
,añca,accam[DEDR55],inf.,
,añcal,accam[DEDR55],ipt.|neg.,
,añcal,accam[DEDR55],v.n.,
,añcalar,accam[DEDR55],neg.|3.,
,añcalai,accam[DEDR55],ipt.|neg.,
,añcā,accam[DEDR55],neg.|pey.,
,añcā,accam[DEDR55],abs.|neg.,
,añcāta,accam[DEDR55],neg.|pey.,
,añcātu,accam[DEDR55],abs.|neg.,
,añcāy,accam[DEDR55],neg.|sg.|2.,
,añcāṉ,accam[DEDR55],m.sg.|neg.,
,añci,accam[DEDR55],abs.,
,añciya,accam[DEDR55],p.a.|pey.,
,añciṉ,accam[DEDR55],cond.,
,añciṉam,accam[DEDR55],p.a.|pl.|1.,
,añciṉar,accam[DEDR55],p.a.|3.,
,añciṉaḷ,accam[DEDR55],f.sg.|p.a.,
,añciṉeṉ,accam[DEDR55],p.a.|sg.|1.,
,añciṉaṉ,accam[DEDR55],m.sg.|p.a.,
,añcuti,accam[DEDR55],sub.|sg.|2.,
,añcutum,accam[DEDR55],sub.|pl.|1.,
,añcupu,accam[DEDR55],abs.,
,añcum,accam[DEDR55],pey.,
,añcum,accam[DEDR55],n.sg.,
,añcuvatu,accam[DEDR55],part.n.|n.sg.|i.a.,
,añcuvam,accam[DEDR55],i.a.|pl.|1.,
,añcuval,accam[DEDR55],sg.|1.,
,añcuvaḷ,accam[DEDR55],f.sg.|i.a.,
,añcēl,accam[DEDR55],ipt.|neg.,
,añcēṉ,accam[DEDR55],neg.|sg.|1.,
,añcutaka,accam[DEDR55],inf.,
,añcutakavu,accam[DEDR55],v.n.,
,añcuvaru,accam[DEDR55],v.r.,
,añcuvara,accam[DEDR55],inf.,
,añcuvarum,accam[DEDR55],pey.,
acciram,,acciram[DEDR324],n.,cool season (TL: al + < Skt. śiśira-)
,accirattu,acciram[DEDR324],obl.,
acā,,acā[DEDR39],n.,languor
,acāa,acā[DEDR39],n.,
,acāvu,acā[DEDR39],v.5.|v.r.,
,acāam,acā[DEDR39],pey.,
,acāntu,acā[DEDR39],abs.,
,acāvatu,acā[DEDR39],part.n.|n.sg.|i.a.,
,acāvā,acā[DEDR39],abs.|neg.,
,acāvā,acā[DEDR39],neg.|pey.,
,acāvātu,acā[DEDR39],abs.|neg.,
,acāvum,acā[DEDR39],pey.,
acuṇam,,acuṇam[TL],p.n.,"(not DEDR, only these passages):  a fabulous creature found in poetry"
acumpu,,acumpu[DEDR41],n.,(Ti. 911: pollānilam):  mud-hole
,acumpiṉ,acumpu[DEDR41],obl.,
acai,,acai[DEDR37],v.4.|v.r.,to move
,acai,acai[DEDR37],r.n.,
,acainta,acai[DEDR37],p.a.|pey.,
,acaiya,acai[DEDR37],inf.,
,acaiyā,acai[DEDR37],abs.|neg.,
,acaiyiṉaṉ,acai[DEDR37],m.sg.|p.a.,
,acaiyunar,acai[DEDR37],part.n.|i.a.|3.,
,acaivara,acai[DEDR37],inf.,
,acaivaral,acai[DEDR37],v.n.,
,acaivu,acai[DEDR37],n.,
,acai,acai[DEDR37],v.11.|tr.,
,acaii,acai[DEDR37],abs.,
,acaiiya,acai[DEDR37],p.a.|pey.,
,acaitta,acai[DEDR37],p.a.|pey.,
,acaittal,acai[DEDR37],v.n.,
,acaittu,acai[DEDR37],abs.,
acai,,acai[DEDR2341],v.4.|v.r.,to become slender
acai,,acai[DEDR39],v.4.|v.r.,/5. to be weary ~ to rest
,acai,acai[DEDR39],r.n.,
,acaii,acai[DEDR39],abs.,
,acaiiya,acai[DEDR39],p.a.|pey.,
,acaiiya,acai[DEDR39],inf.|1.,
,acaintavar,acai[DEDR39],part.n.|p.a.|3.,
,acaintaṉar,acai[DEDR39],p.a.|3.,
,acaintu,acai[DEDR39],abs.,
,acaipu,acai[DEDR39],abs.,
,acaiya,acai[DEDR39],inf.,
,acaiyiṉ,acai[DEDR39],cond.,
,acaiyiṉa,acai[DEDR39],n.pl.|p.a.,
,acaiyiṉam,acai[DEDR39],p.a.|pl.|1.,
,acaiyiṉar,acai[DEDR39],p.a.|3.,
,acaiyiṉaḷ,acai[DEDR39],f.sg.|p.n.,
,acaiyunar,acai[DEDR39],part.n.|i.a.|3.,
,acaivu,acai[DEDR39],n.,
,acaiviṉar,acai[DEDR39],pron.n.|3.,
acai,,acai[DEDR43],v.11.|v.r.,to tie –
,acaii,acai[DEDR43],abs.,
,acaitta,acai[DEDR43],p.a.|pey.,
añci,,añci[TL],p.n.,of a chieftain
aññai,,aññai[DEDR58],n.,mother
,aññaiyai,aññai[DEDR58],acc.,
añar,,añar[DEDR39],n.,grief
aṭṭavāyil,,aṭṭavāyil[TL],p.n.,AN index (not ):  of a place
aṭṭu,,aṭṭu[DEDR97],v.5.,to be discharged
,aṭṭi,aṭṭu[DEDR97],abs.,
aṭṭil,,aṭṭil[DEDR76],n.,kitchen
,aṭṭilōḷ,aṭṭil[DEDR76],pron.n.|sg.,
aṭakku,,aṭakku[DEDR63],v.5.,to subdue; to be packed
,aṭakka,aṭakku[DEDR63],inf.,
,aṭakki,aṭakku[DEDR63],p.a.|pey.,
